City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
406,dwarka,22.2394,68.9678,19.07,61,33,8.4,IN,1675221636
407,san quintin,30.4833,-115.95,13.12,64,53,2.93,MX,1675222190
408,zhob,31.3411,69.4481,6.41,42,8,0.83,PK,1675222190
409,mount gambier,-37.8333,140.7667,17.85,42,90,4.34,AU,1675222190
410,katherine,-14.4667,132.2667,29.18,74,75,5.66,AU,1675222191
411,north bend,43.4065,-124.2243,5.48,81,0,0.0,US,1675222191
412,homer,59.6425,-151.5483,2.09,92,100,0.0,US,1675222191
413,goderich,43.7501,-81.7165,-7.27,62,100,7.2,CA,1675222192
414,elliot lake,46.3834,-82.6331,-13.61,93,96,2.66,CA,1675222192
415,miranda de ebro,42.6865,-2.947,7.21,85,100,0.8,ES,1675222192
416,pangnirtung,66.1451,-65.7125,-29.19,72,100,2.05,CA,1675222173
417,morro bay,35.3658,-120.8499,10.25,78,0,2.7,US,1675221998
418,superior,46.7208,-92.1041,-15.29,67,0,5.14,US,1675221900
419,olafsvik,64.8945,-23.7142,-0.82,83,100,7.65,IS,1675222193
420,faya,18.3851,42.4509,9.29,56,69,2.13,SA,1675222193
421,shimabara,32.7833,130.3667,12.17,75,99,4.87,JP,1675222193
422,avera,33.194,-82.5271,16.06,95,100,2.76,US,1675222194
423,acajutla,13.5928,-89.8275,25.39,75,5,3.33,SV,1675222194
424,isangel,-19.55,169.2667,32.06,70,75,2.06,VU,1675222194
425,dingzhou,38.5131,114.9956,3.06,20,59,2.57,CN,1675222195
426,lebanon,36.2081,-86.2911,0.92,95,100,2.57,US,1675221922
427,fairbanks,64.8378,-147.7164,-7.88,81,0,3.09,US,1675222195
428,misratah,32.3754,15.0925,14.36,64,89,9.54,LY,1675222195
429,sohagpur,22.7,78.2,16.09,56,4,3.62,IN,1675222196
430,isakly,54.1333,51.5333,-16.18,100,99,2.13,RU,1675222196
431,tarutyne,46.1858,29.1506,-3.86,93,14,2.65,UA,1675222196
432,ust-kulom,61.6864,53.6902,-4.7,88,100,4.83,RU,1675222197
433,stornoway,58.2093,-6.3865,5.52,74,75,11.83,GB,1675222197
434,blagoveshchenka,52.8333,79.8667,-14.61,93,99,1.66,RU,1675222197
435,longyearbyen,78.2186,15.6401,-9.09,62,20,7.72,SJ,1675222198
436,uruzgan,32.8333,66.0,1.65,57,23,3.76,AF,1675222198
437,mikhaylovka,50.06,43.2379,-1.79,86,100,3.04,RU,1675222198
438,belmonte,-15.8631,-38.8828,24.51,81,3,1.92,BR,1675222199
439,velen,51.9,6.9833,6.12,73,100,7.0,DE,1675222199
